county,candidate,party,won,total_reg_voters,perc_reg_voters,total_perc_reg_voters
Alamance,Donald Trump,REP,t,111105,41.45,77.49
Alexander,Donald Trump,REP,t,24968,63.63,81.05
Alleghany,Donald Trump,REP,t,7630,59.33,79.64
Anson,Joe Biden,DEM,t,16735,34.59,66.88
Ashe,Donald Trump,REP,t,19570,58.51,80.81
Avery,Donald Trump,REP,t,12412,57.78,76.19
Beaufort,Donald Trump,REP,t,34102,48.2,77.17
Bertie,Joe Biden,DEM,t,13373,44.41,73.39
Bladen,Donald Trump,REP,t,23073,41.94,74.22
Brunswick,Donald Trump,REP,t,114943,48.59,78.45
Buncombe,Joe Biden,DEM,t,207751,46.46,77.77
Burke,Donald Trump,REP,t,58392,53.12,76.38
Cabarrus,Donald Trump,REP,t,150719,41.96,77.79
Caldwell,Donald Trump,REP,t,54808,58.6,78.14
Camden,Donald Trump,REP,t,8185,52.68,72.73
Carteret,Donald Trump,REP,t,52335,57.38,81.58
Caswell,Donald Trump,REP,t,15515,45.69,77.66
Catawba,Donald Trump,REP,t,109013,51.91,76.54
Chatham,Joe Biden,DEM,t,58038,46.15,83.73
Cherokee,Donald Trump,REP,t,22701,55.63,72.35
Chowan,Donald Trump,REP,t,10346,43.21,75.23
Clay,Donald Trump,REP,t,9135,55.96,75.45
Cleveland,Donald Trump,REP,t,67858,49.81,75.61
Columbus,Donald Trump,REP,t,37131,45.33,71.22
Craven,Donald Trump,REP,t,73156,42.42,72.55
Cumberland,Joe Biden,DEM,t,227571,37.12,64.67
Currituck,Donald Trump,REP,t,21859,53.33,73.87
Dare,Donald Trump,REP,t,30227,46.11,80.17
Davidson,Donald Trump,REP,t,113830,56.8,77.76
Davie,Donald Trump,REP,t,31515,57.84,80.32
Duplin,Donald Trump,REP,t,31001,44.49,73.27
Durham,Joe Biden,DEM,t,245216,59,73.36
Edgecombe,Joe Biden,DEM,t,35797,44.95,71.18
Forsyth,Joe Biden,DEM,t,273103,41.39,73.7
Franklin,Donald Trump,REP,t,47749,43.77,78.23
Gaston,Donald Trump,REP,t,152194,47.99,75.89
Gates,Donald Trump,REP,t,8367,40.24,71.36
Graham,Donald Trump,REP,t,6139,60.43,75.98
Granville,Donald Trump,REP,t,40343,41.26,78.32
Greene,Donald Trump,REP,t,11378,42.84,76.94
Guilford,Joe Biden,DEM,t,385007,44.96,73.89
Halifax,Joe Biden,DEM,t,38078,40.82,67.63
Harnett,Donald Trump,REP,t,82539,42.62,70.63
Haywood,Donald Trump,REP,t,46496,49.11,78.59
Henderson,Donald Trump,REP,t,87715,45.64,77.94
Hertford,Joe Biden,DEM,t,15053,47.15,70.65
Hoke,Joe Biden,DEM,t,33376,35.37,64.83
Hyde,Donald Trump,REP,t,3171,44.72,78.6
Iredell,Donald Trump,REP,t,130936,51.18,78.18
Jackson,Donald Trump,REP,t,29812,38.09,71.86
Johnston,Donald Trump,REP,t,143845,47.52,77.41
Jones,Donald Trump,REP,t,7401,44.32,74.66
Lee,Donald Trump,REP,t,38771,42.48,74.83
Lenoir,Donald Trump,REP,t,38569,37.83,73.67
Lincoln,Donald Trump,REP,t,62727,57.94,80.05
McDowell,Donald Trump,REP,t,29932,56.4,76.84
Macon,Donald Trump,REP,t,27271,52.11,76.06
Madison,Donald Trump,REP,t,17278,46.18,75.68
Martin,Donald Trump,REP,t,16520,39.54,75.91
Mecklenburg,Joe Biden,DEM,t,793838,47.63,71.43
Mitchell,Donald Trump,REP,t,11153,63.57,81.07
Montgomery,Donald Trump,REP,t,17068,49.28,75.28
Moore,Donald Trump,REP,t,74320,49.47,78.49
Nash,Joe Biden,DEM,t,68754,37.74,76.02
New Hanover,Joe Biden,DEM,t,177675,37.22,74.19
Northampton,Joe Biden,DEM,t,13939,43.54,72.53
Onslow,Donald Trump,REP,t,117653,39.16,61.4
Orange,Joe Biden,DEM,t,112362,56.6,75.64
Pamlico,Donald Trump,REP,t,9775,49.61,78.06
Pasquotank,Joe Biden,DEM,t,28763,34.18,69.18
Pender,Donald Trump,REP,t,45057,48.73,75.84
Perquimans,Donald Trump,REP,t,9749,50.29,76.75
Person,Donald Trump,REP,t,27813,47.4,78.72
Pitt,Joe Biden,DEM,t,123620,38.22,70.83
Polk,Donald Trump,REP,t,16532,46.51,74.75
Randolph,Donald Trump,REP,t,95040,59.86,77.14
Richmond,Donald Trump,REP,t,29411,40.22,70.59
Robeson,Donald Trump,REP,t,76831,36.19,61.43
